YEAR,STRATUM,AOU,SPECIES,POP
1961,46,1420,Northern shoveler,59245
1961,46,1430,Northern pintail,76261
1961,46,1460,Redhead,26358
1961,46,1470,Canvasback,625
1961,46,1499,Generic scaup,7184
1961,46,1500,Ring-necked duck,0
1961,46,1519,Generic goldeneye,0
1961,46,1530,Bufflehead,0
1961,46,1670,Ruddy duck,20054
1961,46,1720,Canada goose,0
1961,46,2210,American coot,32855
1961,46,9991,Pond,26261
1962,45,1320,Mallard,111827
1962,45,1350,Gadwall,88614
1962,45,1370,American wigeon,2343
1962,45,1390,Green-winged teal,0
1962,45,1400,Blue-winged teal,278914
1962,45,1420,Northern shoveler,124060
1962,45,1430,Northern pintail,203278
1962,45,1460,Redhead,64856
1962,45,1470,Canvasback,973
1962,45,1499,Generic scaup,55276
1962,45,1500,Ring-necked duck,0
1962,45,1519,Generic goldeneye,0
1962,45,1530,Bufflehead,0
1962,45,1670,Ruddy duck,14803
1962,45,1720,Canada goose,0
1962,45,2210,American coot,57664
1962,45,9991,Pond,132632
1962,46,1320,Mallard,97642
1962,46,1350,Gadwall,67562
1962,46,1370,American wigeon,1504
1962,46,1390,Green-winged teal,0
1962,46,1400,Blue-winged teal,424964
1962,46,1420,Northern shoveler,98125
1962,46,1430,Northern pintail,212727
1962,46,1460,Redhead,26358
1962,46,1470,Canvasback,1249
1962,46,1499,Generic scaup,20654
1962,46,1500,Ring-necked duck,0
1962,46,1519,Generic goldeneye,0
1962,46,1530,Bufflehead,0
1962,46,1670,Ruddy duck,12666
1962,46,1720,Canada goose,0
1962,46,2210,American coot,44471
1962,46,9991,Pond,97135
1963,45,1320,Mallard,257285
1963,45,1350,Gadwall,111802
1963,45,1370,American wigeon,6565
1963,45,1390,Green-winged teal,0
1963,45,1400,Blue-winged teal,228265
1963,45,1420,Northern shoveler,67292
1963,45,1430,Northern pintail,197867
1963,45,1460,Redhead,26494
1963,45,1470,Canvasback,8945
1963,45,1499,Generic scaup,8218
1963,45,1500,Ring-necked duck,858
1963,45,1519,Generic goldeneye,0
1963,45,1530,Bufflehead,0
1963,45,1670,Ruddy duck,3360
1963,45,1720,Canada goose,0
1963,45,2210,American coot,15204
1963,45,9991,Pond,194139
1963,46,1320,Mallard,217566
1963,46,1350,Gadwall,98350
1963,46,1370,American wigeon,6188
1963,46,1390,Green-winged teal,0
1963,46,1400,Blue-winged teal,423865
